S.No.,Name,Age,City,Email,CitiesLivedInPast,Salary
1,Abhishek,41,SY,ak13@gmail.com,LKO;GR;NO
2,Abhishek1,41,AT,ak1@gmail.com,LKO;CHN
3,Saurabh,None,SY,sk29@gmail.com,LKO;CHN;CAL;NO
4,,44,NO,sd18@gmail.com,LKO;CHN;CAL;NO;GR
5,Ashish,42,DL,as12@gmail.com,LKO
6,Faheem,41,GR,fs25@gmail.com,LKO;BAN;NO;DL
7,Anurag,None,NO,ak04@gmail.com,LKO;BUB;GR;NO
8,Pradeep,42,PN,pg16@gmail.com,LKO;CHN;GR;PN
9,Anand,None,DB,ak05@gmail.com,HYD
,,,,,
11,Hitesh,40,DB,hp12@gmail.com
12,Roops,41,SY,rr27@gmail.com,LKO;CNB;NO
13,Rash,41,DB,rp05@gmail.com,None
14,Sean,33,SY,sk10@gmail.com,Missing
15,Andrew,33,SY,None
16,Ishanvi,10,SY,ik09@gmail.com,Missing
17,Arjun,5,SY,ak20@gmail.com
18,NA,78,None,gp00@gmail.com
19,Shivani,41,SY,ss00@gmail.com,Missing
